
S0-T0, S0-T1, S0-T2, S0-T3, S0-T4, S0-T5, S0-T6, S0-T7, S0-T8, S0-T9, S0-T10, S0-T11, S0-T12, S0-T13, S0-T14, S0-T15, S0-T16, S0-T17, S0-T18, S0-T19, S0-T20, S0-T21, S0-T22, S0-T23, S0-T24, S0-T25, S0-T26, S0-T27, S0-T28, S0-T29, S1-T0, S1-T1, S1-T2, S1-T3, S1-T4, S1-T5, S1-T6, S1-T7, S1-T8, S1-T9, S1-T10, S1-T11, S1-T12, S1-T13, S1-T14, S1-T15, S1-T16, S1-T17, S1-T18, S1-T19, S1-T20, S1-T21, S1-T22, S1-T23, S1-T24, S1-T25, S1-T26, S1-T27, S1-T28, S1-T29, 
qualiti (0.0070511740772667385), music (0.007451787739752035), like (0.007271073630497407), qualiti (0.006940853807680372), like (0.007252479495502226), music (0.007108053182236622), music (0.006870195564694897), qualiti (0.007346705857381099), like (0.007178401771766166), qualiti (0.007340462808654539), music (0.007383248444608143), bass (0.007416768040273175), music (0.007236293324729432), qualiti (0.006840606626996115), like (0.007265435551995706), well (0.006660874759709357), like (0.0067790489687719595), like (0.007380691279277852), like (0.007006823481464548), like (0.0072322594892075265), good (0.0075045022078177644), like (0.0073483682671446485), music (0.006914411828460728), qualiti (0.007238651560866261), like (0.007075088111426965), bass (0.007351103960209347), music (0.007162646722790699), bass (0.007146403993338959), qualiti (0.007333247198140872), frequenc (0.006876176563089173), qualiti (0.007844852520864113), product (0.008421532653406491), nois (0.007753072446675496), time (0.008252219358562263), time (0.009845651937053225), product (0.008403980201101108), product (0.009254053724518922), one (0.007434460645443821), like (0.007487646965429895), product (0.0074866383078449), work (0.009125600195280581), audio (0.00971331539354067), work (0.008382826106243515), dont (0.008488706511571301), would (0.008698906293178182), earphon (0.00830472344091558), qualiti (0.007300437202562657), ear (0.008778102853739478), work (0.007821540796002504), time (0.007999878404051945), pair (0.008543865591271996), one (0.008909807938846192), work (0.008624672932586248), ear (0.007468461893830214), review (0.009230008308608572), would (0.007407502870192585), would (0.008583507644912678), one (0.008778325193350697), month (0.00870682585043512), pair (0.008389998602372276), 

get (0.0067079928543175345), qualiti (0.006936784066338909), qualiti (0.006426262192315007), music (0.006879969124257741), qualiti (0.006733746137200811), qualiti (0.006829870260381304), qualiti (0.006841529936066751), nois (0.0073267419824946615), qualiti (0.007035725461468733), like (0.007239531443761153), get (0.0069437693646523906), qualiti (0.007215797548820606), get (0.006788196103664191), music (0.006637526114551983), qualiti (0.006447863328327622), music (0.006496182799079792), qualiti (0.006623605805704408), get (0.006585278424575635), qualiti (0.0066900256070366575), qualiti (0.007164396463590988), get (0.0067531243506819), listen (0.00682835612149677), qualiti (0.006293763352597246), music (0.0070707701444535755), qualiti (0.006710862206489863), listen (0.006943224290134684), qualiti (0.007073608295436425), qualiti (0.006711178409827185), like (0.007281531772875594), listen (0.0068577664515602045), ear (0.007776740896264361), qualiti (0.008413720467358717), review (0.007435737240795194), qualiti (0.008244571329662748), dont (0.008304626188503618), dont (0.007770999295324171), pair (0.007841621566316613), review (0.007213436040207831), work (0.007018904521354292), get (0.007180517849870594), qualiti (0.008774458375175011), pair (0.008801900653047789), review (0.007837601397786526), time (0.008055166631746475), bluetooth (0.008130164277036419), qualiti (0.008007791177528586), get (0.0072748843857693615), would (0.00850997458606028), like (0.0074988516667304226), one (0.007640459381539601), time (0.007997106067934787), review (0.008137129458760814), headset (0.00773689101940068), product (0.007165384498276491), nois (0.009205691378809104), review (0.0070904500639524335), poor (0.007681511416692346), qualiti (0.007746466705647317), earbud (0.008256387190498647), bose (0.008138965333749044), 

bass (0.006683034219921229), get (0.006442800951024277), get (0.006426262192315007), get (0.006616135496093011), get (0.006596722231234399), get (0.006753130144007424), get (0.006631315326127019), music (0.006578096674253281), get (0.006589861991789255), get (0.006450431681867409), qualiti (0.006836341145107651), listen (0.006670306214877916), qualiti (0.0063114969323181894), well (0.006145857505476715), listen (0.006397291850574956), qualiti (0.006331490838450226), get (0.006450891180073795), listen (0.0065297845044801316), nois (0.006419815655318752), listen (0.00613675636139769), nois (0.006001746493546036), qualiti (0.006751633018040526), get (0.006128903601196008), get (0.006349867591622634), music (0.006583383139761877), qualiti (0.00653534462006002), get (0.006578950365690459), get (0.006450043059720121), listen (0.006650603584639198), like (0.006664460280506041), problem (0.007536346927088765), time (0.00766375060677249), one (0.007367221684980129), one (0.007827753754639179), work (0.008124007210494064), work (0.007291793411854626), time (0.007838857511212499), audio (0.0069321319971802076), would (0.006811027437459894), much (0.006215572927995064), cord (0.008427399599489273), product (0.008284307096718499), disappoint (0.0074968359550009085), one (0.0075696019663426695), review (0.007851480689126956), one (0.007648346858691698), one (0.007200781217068807), time (0.008472849133612391), dont (0.007194497147076073), review (0.006907581530948021), product (0.007675659534983789), problem (0.007346989318108535), time (0.007729760240981518), get (0.007092007865668748), pair (0.008524817344423966), problem (0.0067770001305104645), amazon (0.007642715879994697), even (0.0070083489553193525), even (0.007771299402874753), review (0.007703579508480626), 

pair (0.006492004672041811), listen (0.005980348672857388), listen (0.006340831822161731), listen (0.006220385053845915), nois (0.0058920278576928544), listen (0.005985728980268616), one (0.0058860089817952405), get (0.006138891426751672), nois (0.006349095718162337), listen (0.006248568952080638), pair (0.006123408415401653), get (0.006545895910645373), listen (0.00612081726377979), nois (0.006049661473266337), get (0.006085434404433522), listen (0.005864863616666458), listen (0.0058463899903666485), qualiti (0.005863857463334091), listen (0.00625209913356281), get (0.006068893335781151), qualiti (0.005908983795134201), get (0.0055496377305593635), listen (0.006031927276842338), great (0.005678341925971893), get (0.006346636301552761), get (0.006498264650053233), listen (0.0061931171804886056), listen (0.006319475384666589), get (0.006578201989267808), qualiti (0.006388308607571521), week (0.007083604951808061), would (0.00727314130438383), run (0.007107583789259882), get (0.00704383079243889), like (0.007889586834779534), pair (0.0070164288370251114), week (0.007346855702680189), ear (0.006814921979252032), product (0.006774343246184412), cord (0.006202263342865747), time (0.008010929068666387), much (0.007758274515014274), bass (0.007440041714536639), earbud (0.006841254968236961), get (0.007515922899603316), cord (0.0073951730341196295), cord (0.00654407382548113), one (0.008419223480076551), get (0.006758133438174054), bud (0.0063516052304992375), get (0.007378246387673987), time (0.007281508090982655), product (0.007326871260298911), audio (0.006906971139962264), bass (0.008233014186830333), even (0.006740971402528629), pair (0.007550576480337782), problem (0.006710842311054509), listen (0.00726641211371519), listen (0.007307417631434587), 

listen (0.006273136647335745), nois (0.005864735603315665), one (0.005780788284490254), one (0.006200090159371705), listen (0.005755003951726442), great (0.00588021132025453), listen (0.005780901676825375), comfort (0.005909306865557648), one (0.005751638668791837), nois (0.006092584115427223), listen (0.0058206561603210225), nois (0.005942984436287664), cabl (0.005577380208445349), get (0.0059427769930325836), one (0.005824148436044753), get (0.005855714063298149), nois (0.005492325007823892), cabl (0.005845359489968923), well (0.005786219906462973), comfort (0.005807135951260216), listen (0.005621419430057512), comfort (0.005413241102192707), pair (0.005847672260570367), comfort (0.0056585911710998115), listen (0.005554444958314565), cabl (0.005552725414880151), great (0.005906215581235945), comfort (0.006119271616251174), pair (0.005823156780394743), get (0.005707134480999708), like (0.006610830145762723), dont (0.00688253200199517), even (0.0063791552484891885), problem (0.006814389925453438), bud (0.006809715923701133), review (0.006690997975862958), nois (0.0073247432618472755), get (0.00680487540628676), problem (0.006456413588463569), screw (0.005926089451432405), one (0.007966015580048233), time (0.007448843584600025), dont (0.007424896583746167), bass (0.0068325841706404645), product (0.0075045480592804805), get (0.007045105523600226), bud (0.006311543192662146), poor (0.007350835459631747), one (0.006758133438174054), audio (0.00581247669673072), audio (0.007095854106389934), like (0.007229123109281952), month (0.007326871260298911), pair (0.0068304042189802705), even (0.007194333899681576), bass (0.00671214842014316), one (0.007424490986070424), bose (0.0063116561807750994), bit (0.006845672706082221), get (0.007248581709101017), 

nois (0.006220459529547388), comfort (0.005601978627084478), comfort (0.005780788284490254), well (0.005672422903042243), pair (0.005569042936486313), cabl (0.00586102629116106), well (0.005694904790940938), listen (0.005849415240898338), listen (0.005626796897281583), one (0.005450293611560224), nois (0.005430008089249243), one (0.005713303874627584), great (0.005319962655918509), comfort (0.0059107116489624575), cabl (0.005588148206532317), one (0.00573676986951013), cabl (0.00547505354526083), comfort (0.005521644956078486), get (0.005720996814668995), nois (0.0055356838487940615), well (0.005417341493551475), nois (0.0053194684201906305), one (0.005818579363264267), one (0.005648715793663771), well (0.005527128015444283), nois (0.0054878354673682725), pair (0.005896322422641025), pair (0.005370683612610924), great (0.0057817844401825205), better (0.005256086748539992), get (0.006598810447303943), could (0.006148186513504489), pair (0.0063791552484891885), music (0.006768501752056348), phone (0.006790501138806499), get (0.006662388669387164), would (0.007056629916748208), would (0.0065470133668447715), nois (0.0063789691846597735), review (0.005889488092326782), week (0.007618956804362495), work (0.007122534603435907), get (0.007390820039467605), audio (0.00679356558145623), work (0.007467579828231266), time (0.006773178082393189), year (0.00629365622090684), even (0.0069012049799850915), time (0.0064647796842903435), music (0.005787205046710321), ear (0.0070297622958766445), qualiti (0.006818774085959774), return (0.007030943955903723), time (0.006230630004621324), one (0.006371032133613831), like (0.006640090964179489), audio (0.007177169439622913), volum (0.006285294832549101), made (0.006840722830698303), like (0.006911255754388548), 

comfort (0.00607238763125392), pair (0.005496875836592003), well (0.005590943017482973), comfort (0.005560800983434089), one (0.005510318405357851), nois (0.005793878689333914), nois (0.005456024552373061), one (0.005699686179250062), great (0.005421699701229024), pair (0.005376888982546852), one (0.005361644676811681), comfort (0.005579323546992537), well (0.005319962655918509), listen (0.005878646304892331), well (0.005478576671401543), nois (0.005599526568985492), one (0.0054405106201347074), well (0.0052996692756964725), cabl (0.00556259787745505), great (0.005487210259067963), pair (0.005176158477680704), cabl (0.0053194684201906305), comfort (0.0057409983037813314), listen (0.00557958815161149), pair (0.005490705424950572), well (0.005385865549849607), comfort (0.005639100299173123), nois (0.005335865565929982), cabl (0.005740412099970298), one (0.005237676637011025), year (0.006282291721222743), problem (0.005800544234378581), get (0.006314245774559127), headset (0.0063861003070805975), pair (0.006702113128291185), like (0.006272586868654474), much (0.006520403226550071), pair (0.006476687356087866), bud (0.006036583399421942), even (0.005879505903479794), product (0.007598541582263333), transmitt (0.006962193121312159), like (0.007034909465891514), bud (0.006377367296824397), cabl (0.0072855823830659016), even (0.006757550068530715), nois (0.00624510586899958), disappoint (0.006534075505778189), product (0.006072419038470881), bose (0.0055485283520732166), side (0.006513044504590929), headset (0.0064302521383462225), bud (0.006670839645736082), return (0.005962645781184348), like (0.00608270282313441), seem (0.0063914927411048246), much (0.007123825576663647), would (0.005897406422937976), piec (0.006825873204546552), dont (0.006899488569921834), 

one (0.005470620556746837), great (0.005454834720395013), great (0.005382113223774964), great (0.005357852038691988), comfort (0.005363507077536695), comfort (0.005726731087506768), cabl (0.005427358923744916), well (0.005480083555499256), comfort (0.005314692468505949), comfort (0.005312659932160152), comfort (0.005068658623507846), great (0.005541043453382524), pair (0.005253224771930068), great (0.005515239072097569), comfort (0.005318433658518104), cabl (0.005443984161724236), comfort (0.005267795994504095), great (0.005207179408870634), comfort (0.005292387925737145), pair (0.0054581261052323036), one (0.00516688220783952), pair (0.005140447845459394), well (0.005547045655073993), nois (0.005490709754687127), cabl (0.0054269658915865795), one (0.005348785579842819), cabl (0.005579741347603607), also (0.005327161054259746), nois (0.005730069014917242), nois (0.005099600800543765), pair (0.00623821949354055), review (0.005726328466924735), work (0.006274578873824089), dont (0.006018994919903876), get (0.005991166087189746), bad (0.0060186792736818045), dont (0.006219121220201633), much (0.006238918462576422), bought (0.006012127271904954), pair (0.005852886733221158), right (0.006826846186915044), better (0.006346144268941972), bud (0.006709289153896368), poor (0.006008858398973294), much (0.006972774274187932), much (0.0064512409968262375), review (0.006033017489615233), replac (0.00648044985224235), pair (0.006024749053464778), left (0.00523965262960167), week (0.006194602144845081), cabl (0.006417155892921046), dont (0.006285777611101378), first (0.005956265204435848), work (0.005971539715479693), audio (0.006016793970093735), bad (0.006721321883425542), first (0.005573538430447134), bought (0.0068110235783948), audio (0.006558240220387127), 

review (0.005284630733120519), well (0.005307690813705548), cabl (0.005144806640015862), pair (0.005266525013558043), great (0.005069884421894384), one (0.0055156957674785964), comfort (0.005236254732890613), great (0.005370282243623854), well (0.005279023390931591), well (0.0051383239382533944), great (0.004970996605739901), pair (0.0054644832661624974), comfort (0.005205554854795468), one (0.005365600799770314), great (0.005031861951253002), comfort (0.00527929220109467), well (0.005043266981184297), phone (0.005179432448822882), great (0.005283070341195148), better (0.005099421541259171), also (0.005129777128474786), one (0.005055199952730233), great (0.005479162228026424), cabl (0.005352454470582562), comfort (0.005372332005846014), pair (0.005209735692317366), one (0.005540168713223929), cabl (0.005248820449227628), one (0.005574922739121407), cabl (0.0050627805774858285), nois (0.006206166964317137), disappoint (0.005413841025013807), dont (0.0060185470599888454), much (0.005988402804305816), hear (0.00568372952887561), design (0.006007950783753381), one (0.006141727677286438), work (0.006078173295132066), first (0.006003975229399291), qualiti (0.005526801897552875), review (0.00639404347841283), one (0.006264567023650942), bad (0.006372309993808368), well (0.005943827416999571), problem (0.0067566523080540624), right (0.006166811144529222), earphon (0.006022796362897914), dont (0.006439199349522473), problem (0.005808400659975541), much (0.005234036707374915), one (0.006146535373562689), would (0.005967518133323341), problem (0.0060005464743349305), cord (0.005924362320693351), better (0.005787425818426569), much (0.005980765242111899), first (0.006682526346727893), product (0.0054982202926585665), much (0.0067763744507073785), time (0.006526861061809223), 

great (0.00526291192145835), cabl (0.00512901606986834), pair (0.00506886853321295), cabl (0.005256377566320938), also (0.0050600970000396405), well (0.005477325709291656), great (0.005217144313805183), cabl (0.005310390618964544), cabl (0.005234437043963643), also (0.0051016216237467086), phone (0.004970996605739901), also (0.005426203172552484), one (0.005157884937660868), pair (0.004895309086741797), nois (0.004998147632751225), also (0.005178647114043269), pair (0.004922366743242868), also (0.005077693595314459), one (0.0050967186503552125), cabl (0.004992779643861753), comfort (0.0050091856205394004), phone (0.005046675163457317), nois (0.005324000109060554), well (0.005332703715710482), one (0.005299486824858594), comfort (0.005181925714812275), nois (0.005263160272566189), one (0.004987685099120564), comfort (0.005461148803537794), bluetooth (0.005053575521721345), set (0.005909681069000569), wire (0.0053708740017510545), product (0.005978880159253808), like (0.005911922515310666), back (0.005660671787002049), purchas (0.00599006996720601), well (0.005956535985310794), like (0.005860497547551167), time (0.0059550629743653155), first (0.005253955402401864), happen (0.006059233835986588), like (0.006031087321611099), much (0.005936887483582299), pair (0.005865790238631102), pair (0.00668840326611705), like (0.00614493192512176), time (0.005509184745352688), could (0.006092695126675509), amazon (0.0057937329722813555), earphon (0.005228420785148159), problem (0.005948259942022822), get (0.00589330607591401), buy (0.005964892582239125), review (0.005646807232133626), problem (0.005158659490754578), dont (0.005980765242111899), earbud (0.006634031925855832), get (0.005475624851321996), one (0.006622928313805943), month (0.006507249087698033), 

cabl (0.005239633195146411), also (0.004939831046981886), review (0.00502140721646113), nois (0.005205640330135412), well (0.004991585047056435), pair (0.0054677331947449205), pair (0.0050069297038654505), pair (0.005310390618964544), also (0.005145264350027747), great (0.00491811005121328), cabl (0.004931931798632723), well (0.0053592130087349605), also (0.005138816970807028), cabl (0.004831178398601545), pair (0.004871718938369562), great (0.005105450687096796), also (0.004715109192486132), nois (0.004864966901615028), pair (0.005050130727645229), also (0.004934611336190434), great (0.004962804271333483), frequenc (0.004850605010180248), review (0.005100954563047115), pair (0.005312952960838401), great (0.005162902110507181), better (0.005098495782297003), also (0.005203801320996673), great (0.0049615715641098575), well (0.005078454656574734), comfort (0.004998345187134441), receiv (0.0055250507183196166), first (0.005366967908727168), buy (0.005675969280913519), would (0.005636593474928124), price (0.005641457002107417), price (0.005986493803896536), get (0.005934423544477881), bluetooth (0.0055992866504540875), much (0.005620829231633147), work (0.005147478721367322), pair (0.0059285764145519575), problem (0.00584824177182086), pair (0.005891452091210884), work (0.005761740667473143), nois (0.006674184715713506), week (0.006132429514031781), like (0.005496408336956041), bought (0.006047319573683645), bud (0.005760730674969438), tri (0.005219996901808026), tri (0.005912209863561028), transmitt (0.0056182849219853165), review (0.005950631025400803), music (0.005630855790262377), piec (0.005141290255183529), time (0.005948339386928247), product (0.006580688062896566), disappoint (0.005219543182840865), dont (0.006276437036931733), one (0.006432723586075511), 

phone (0.004768898951219932), one (0.0047611563031446785), also (0.004983438163059674), also (0.004911364360259366), review (0.004795836609961561), review (0.005131995185609192), review (0.004806270303468433), review (0.004971004745895118), review (0.004859911729432881), better (0.004826354264946565), also (0.0049221655968559284), cabl (0.005110392400269875), better (0.004957671285695547), review (0.004777736158484668), also (0.004753718823613344), pair (0.004785216319205974), great (0.0047064734612046015), pair (0.004790975008154358), better (0.004807873529553313), one (0.0047213275413955985), better (0.004619582287209693), well (0.004842080220907332), also (0.005091256930611748), also (0.005026567015193232), review (0.004689408434088949), also (0.005005795857280034), well (0.0051840150038068335), audio (0.004778776819034912), phone (0.004985366891097233), price (0.004878679462196149), replac (0.00549700475524913), much (0.005347437443607735), year (0.005657938871488502), earbud (0.00562894544602861), bought (0.005622242217212783), bud (0.005639605962877537), price (0.005721591301461095), first (0.005244307739014468), fit (0.005604525146621821), week (0.004924543170451252), bad (0.0056590954828430315), bass (0.0058257377041543695), problem (0.005622626019680007), like (0.005466933549192261), one (0.0060656307584418204), star (0.005866753278369733), audio (0.005297096365968341), bad (0.005717315551924632), audio (0.005731395299581068), phone (0.0049588565182639), review (0.005611792543046077), plastic (0.005592092431134965), qualiti (0.005583395936814001), design (0.00559895290651988), purchas (0.00510655178404143), pair (0.005926722150139146), get (0.006575838620809359), could (0.005193181834614867), like (0.006207138781556891), nois (0.006115009605474233), 

